Tweet,Keyword,tweet_lowercase,tweet_without_stopwords
"Nepal reports 553 new Covid-19 cases Number of active cases stands at 5,659. ",COVID-19,"nepal reports 553 new covid-19 cases number of active cases stands at 5,659. ","nepal reports 553 new covid-19 cases number active cases stands 5,659 ."
"Nepal reports 152 new Covid-19 cases According to the ministry, 984,082 infected people have recovered from the disease so far. The number of active cases stands at 2,448. ",COVID-19,"nepal reports 152 new covid-19 cases according to the ministry, 984,082 infected people have recovered from the disease so far. the number of active cases stands at 2,448. ","nepal reports 152 new covid-19 cases according ministry , 984,082 infected people recovered disease far . number active cases stands 2,448 ."
"Nepal reports 1090 new Covid-19 cases Two new deaths were reported in the last 24 hours. Number of active cases stands at 5,806. ",COVID-19,"nepal reports 1090 new covid-19 cases two new deaths were reported in the last 24 hours. number of active cases stands at 5,806. ","nepal reports 1090 new covid-19 cases two new deaths reported last 24 hours . number active cases stands 5,806 ."
"The World Bank on Tuesday slashed its global growth forecast by nearly a third to 2.9 percent for 2022, warning that Russia’s invasion of Ukraine has compounded the damage from the Covid-19 pandemic, and many countries now faced recession. ",COVID-19,"the world bank on tuesday slashed its global growth forecast by nearly a third to 2.9 percent for 2022, warning that russia’s invasion of ukraine has compounded the damage from the covid-19 pandemic, and many countries now faced recession. ","world bank tuesday slashed global growth forecast nearly third 2.9 percent 2022 , warning russia ’ invasion ukraine compounded damage covid-19 pandemic , many countries faced recession ."
Nepal reports 29 new Covid-19 cases The number of active cases stands at 192. ,COVID-19,nepal reports 29 new covid-19 cases the number of active cases stands at 192. ,nepal reports 29 new covid-19 cases number active cases stands 192 .
"Nepal reports four new Covid-19 cases According to the Health Ministry, 966,857 infected people have recovered from the disease so far and the number of active cases stands at 173. ",COVID-19,"nepal reports four new covid-19 cases according to the health ministry, 966,857 infected people have recovered from the disease so far and the number of active cases stands at 173. ","nepal reports four new covid-19 cases according health ministry , 966,857 infected people recovered disease far number active cases stands 173 ."
"Nepal reports 299 new Covid-19 cases Two new deaths were reported in the last 24 hours. Number of active cases stands at 4,625. ",COVID-19,"nepal reports 299 new covid-19 cases two new deaths were reported in the last 24 hours. number of active cases stands at 4,625. ","nepal reports 299 new covid-19 cases two new deaths reported last 24 hours . number active cases stands 4,625 ."
"Nepal logs 13 new Covid-19 cases According to the Health Ministry, 965,822 infected people have recovered from the disease so far and the number of active cases stands at 765. ",COVID-19,"nepal logs 13 new covid-19 cases according to the health ministry, 965,822 infected people have recovered from the disease so far and the number of active cases stands at 765. ","nepal logs 13 new covid-19 cases according health ministry , 965,822 infected people recovered disease far number active cases stands 765 ."
"President Bidya Devi Bhandari, who has been undergoing treatment at the Tribhuvan University Teaching Hospital, has tested positive for Covid-19. ",COVID-19,"president bidya devi bhandari, who has been undergoing treatment at the tribhuvan university teaching hospital, has tested positive for covid-19. ","president bidya devi bhandari , undergoing treatment tribhuvan university teaching hospital , tested positive covid-19 ."
"Nepal reports 106 new Covid-19 cases, one death The number of active cases stands at 414, with seven infected with the virus being treated in intensive care units while three others are on ventilator support. ",COVID-19,"nepal reports 106 new covid-19 cases, one death the number of active cases stands at 414, with seven infected with the virus being treated in intensive care units while three others are on ventilator support. ","nepal reports 106 new covid-19 cases , one death number active cases stands 414 , seven infected virus treated intensive care units three others ventilator support ."
"Hong Kong drops curbs on incoming travellers, scraps Covid app The news of a further loosening of Covid-19 curbs in the global financial hub, which has trailed most of the world in easing them, is set to boost the resumption of travel and business. ",COVID-19,"hong kong drops curbs on incoming travellers, scraps covid app the news of a further loosening of covid-19 curbs in the global financial hub, which has trailed most of the world in easing them, is set to boost the resumption of travel and business. ","hong kong drops curbs incoming travellers , scraps covid app news loosening covid-19 curbs global financial hub , trailed world easing , set boost resumption travel business ."
"Nepal reports 934 new Covid-19 cases Number of active cases stands at 5,686. ",COVID-19,"nepal reports 934 new covid-19 cases number of active cases stands at 5,686. ","nepal reports 934 new covid-19 cases number active cases stands 5,686 ."
OPINION: On shifting disease presentation We need to investigate the prevalence of several infectious diseases in the aftermath of the Covid-19 pandemic.  — by Dr Sher Bahadur Pun,COVID-19,opinion: on shifting disease presentation we need to investigate the prevalence of several infectious diseases in the aftermath of the covid-19 pandemic.  — by dr sher bahadur pun,opinion : shifting disease presentation need investigate prevalence several infectious diseases aftermath covid-19 pandemic . — dr sher bahadur pun
"Nepal reports 45 new Covid-19 cases According to the ministry, 986,617 infected people have recovered from the disease so far. The number of active cases stands at 1,077. ",COVID-19,"nepal reports 45 new covid-19 cases according to the ministry, 986,617 infected people have recovered from the disease so far. the number of active cases stands at 1,077. ","nepal reports 45 new covid-19 cases according ministry , 986,617 infected people recovered disease far . number active cases stands 1,077 ."
US health agency puts Nepal on its ‘high risk’ list The agency suggests travellers who plan to visit Nepal must be up-to-date with Covid-19 vaccines before travelling.  — by @arjunpoudeltkp,COVID-19,us health agency puts nepal on its ‘high risk’ list the agency suggests travellers who plan to visit nepal must be up-to-date with covid-19 vaccines before travelling.  — by @arjunpoudeltkp,us health agency puts nepal ‘ high risk ’ list agency suggests travellers plan visit nepal must up-to-date covid-19 vaccines travelling . — @ arjunpoudeltkp
"Nepal logs 22 new Covid-19 cases According to the Health Ministry, 966,074 infected people have recovered from the disease so far and the number of active cases stands at 568. ",COVID-19,"nepal logs 22 new covid-19 cases according to the health ministry, 966,074 infected people have recovered from the disease so far and the number of active cases stands at 568. ","nepal logs 22 new covid-19 cases according health ministry , 966,074 infected people recovered disease far number active cases stands 568 ."
"Nepal logs 33 new Covid-19 cases According to the Health Ministry, 965,714 infected people have recovered from the disease so far and the number of active cases stands at 842. ",COVID-19,"nepal logs 33 new covid-19 cases according to the health ministry, 965,714 infected people have recovered from the disease so far and the number of active cases stands at 842. ","nepal logs 33 new covid-19 cases according health ministry , 965,714 infected people recovered disease far number active cases stands 842 ."
"Nepal logs 45 new Covid-19 cases According to the Health Ministry, 963,111 infected people have recovered from the disease so far and the number of active cases stands at 3,135. ",COVID-19,"nepal logs 45 new covid-19 cases according to the health ministry, 963,111 infected people have recovered from the disease so far and the number of active cases stands at 3,135. ","nepal logs 45 new covid-19 cases according health ministry , 963,111 infected people recovered disease far number active cases stands 3,135 ."
"Nepal reports 760 new Covid-19 cases One new death was reported in the last 24 hours. Number of active cases stands at 5,602. ",COVID-19,"nepal reports 760 new covid-19 cases one new death was reported in the last 24 hours. number of active cases stands at 5,602. ","nepal reports 760 new covid-19 cases one new death reported last 24 hours . number active cases stands 5,602 ."
Nepal reports 14 new Covid-19 cases The number of active cases stands at 101. ,COVID-19,nepal reports 14 new covid-19 cases the number of active cases stands at 101. ,nepal reports 14 new covid-19 cases number active cases stands 101 .
"Nepal reports 74 new Covid-19 cases According to the ministry, 986,235 infected people have recovered from the disease so far. The number of active cases stands at 1,283. ",COVID-19,"nepal reports 74 new covid-19 cases according to the ministry, 986,235 infected people have recovered from the disease so far. the number of active cases stands at 1,283. ","nepal reports 74 new covid-19 cases according ministry , 986,235 infected people recovered disease far . number active cases stands 1,283 ."
"Nepal reports 227 new Covid-19 cases According to the ministry, 983,949 infected people have recovered from the disease so far. The number of active cases stands at 2,473. ",COVID-19,"nepal reports 227 new covid-19 cases according to the ministry, 983,949 infected people have recovered from the disease so far. the number of active cases stands at 2,473. ","nepal reports 227 new covid-19 cases according ministry , 983,949 infected people recovered disease far . number active cases stands 2,473 ."
"Nepal reports 32 new Covid-19 cases According to the Health Ministry, 966,697 infected people have recovered from the disease so far and the number of active cases stands at 217. ",COVID-19,"nepal reports 32 new covid-19 cases according to the health ministry, 966,697 infected people have recovered from the disease so far and the number of active cases stands at 217. ","nepal reports 32 new covid-19 cases according health ministry , 966,697 infected people recovered disease far number active cases stands 217 ."
"Nepal records first Covid-19 death in 73 days On Sunday, the country reported 135 new cases of infection.  — by @arjunpoudeltkp",COVID-19,"nepal records first covid-19 death in 73 days on sunday, the country reported 135 new cases of infection.  — by @arjunpoudeltkp","nepal records first covid-19 death 73 days sunday , country reported 135 new cases infection . — @ arjunpoudeltkp"
Nepal reports 90 new Covid-19 cases The number of active cases stands at 401. ,COVID-19,nepal reports 90 new covid-19 cases the number of active cases stands at 401. ,nepal reports 90 new covid-19 cases number active cases stands 401 .
"Nepal logs 23 new Covid-19 cases According to the Health Ministry, 964,823 infected people have recovered from the disease so far and the number of active cases stands at 1,558. ",COVID-19,"nepal logs 23 new covid-19 cases according to the health ministry, 964,823 infected people have recovered from the disease so far and the number of active cases stands at 1,558. ","nepal logs 23 new covid-19 cases according health ministry , 964,823 infected people recovered disease far number active cases stands 1,558 ."
"Nepal reports 14 new Covid-19 cases According to the Health Ministry, 966,768 infected people have recovered from the disease so far and the number of active cases stands at 205. ",COVID-19,"nepal reports 14 new covid-19 cases according to the health ministry, 966,768 infected people have recovered from the disease so far and the number of active cases stands at 205. ","nepal reports 14 new covid-19 cases according health ministry , 966,768 infected people recovered disease far number active cases stands 205 ."
Nepal reports 22 new Covid-19 cases The number of active cases stands at 112. ,COVID-19,nepal reports 22 new covid-19 cases the number of active cases stands at 112. ,nepal reports 22 new covid-19 cases number active cases stands 112 .
"Djokovic’s 22nd Grand Slam triumph, now matching Rafa Nadal, was the ultimate redemption a year on from his sensational deportation from Australia on the eve of the Grand Slam due to his lack of Covid-19 vaccination. ",COVID-19,"djokovic’s 22nd grand slam triumph, now matching rafa nadal, was the ultimate redemption a year on from his sensational deportation from australia on the eve of the grand slam due to his lack of covid-19 vaccination. ","djokovic ’ 22nd grand slam triumph , matching rafa nadal , ultimate redemption year sensational deportation australia eve grand slam due lack covid-19 vaccination ."
"Nepal reports 17 new Covid-19 cases According to the Health Ministry, 966,730 infected people have recovered from the disease so far and the number of active cases stands at 217. ",COVID-19,"nepal reports 17 new covid-19 cases according to the health ministry, 966,730 infected people have recovered from the disease so far and the number of active cases stands at 217. ","nepal reports 17 new covid-19 cases according health ministry , 966,730 infected people recovered disease far number active cases stands 217 ."
"Nepal receives 345,600 doses of Pfizer-BioNTech’s bivalent Covid-19 vaccine The Health Ministry has asked the provincial health agencies to demand vaccine doses to be administered as booster and second booster shots. ",COVID-19,"nepal receives 345,600 doses of pfizer-biontech’s bivalent covid-19 vaccine the health ministry has asked the provincial health agencies to demand vaccine doses to be administered as booster and second booster shots. ","nepal receives 345,600 doses pfizer-biontech ’ bivalent covid-19 vaccine health ministry asked provincial health agencies demand vaccine doses administered booster second booster shots ."
Nepal reports 177 new Covid-19 cases The number of active cases stands at 873. ,COVID-19,nepal reports 177 new covid-19 cases the number of active cases stands at 873. ,nepal reports 177 new covid-19 cases number active cases stands 873 .
South Korea calls China’s visa suspension ‘deeply regrettable’ Tuesday’s suspension by the Chinese embassy in South Korea was China’s first retaliatory move against countries imposing Covid-19 curbs on its travellers. ,COVID-19,south korea calls china’s visa suspension ‘deeply regrettable’ tuesday’s suspension by the chinese embassy in south korea was china’s first retaliatory move against countries imposing covid-19 curbs on its travellers. ,south korea calls china ’ visa suspension ‘ deeply regrettable ’ tuesday ’ suspension chinese embassy south korea china ’ first retaliatory move countries imposing covid-19 curbs travellers .
Four-times US Open winner John McEnroe said it would be “a joke” if Novak Djokovic is unable to compete at the US tournament starting later this month due to his Covid-19 vaccination status. ,COVID-19,four-times us open winner john mcenroe said it would be “a joke” if novak djokovic is unable to compete at the us tournament starting later this month due to his covid-19 vaccination status. ,four-times us open winner john mcenroe said would “ joke ” novak djokovic unable compete us tournament starting later month due covid-19 vaccination status .
Nepal reports 31 new Covid-19 cases The number of active cases stands at 142. ,COVID-19,nepal reports 31 new covid-19 cases the number of active cases stands at 142. ,nepal reports 31 new covid-19 cases number active cases stands 142 .
"Nepal reports 38 new Covid-19 cases According to the ministry, 986,547 infected people have recovered from the disease so far. The number of active cases stands at 1,122. ",COVID-19,"nepal reports 38 new covid-19 cases according to the ministry, 986,547 infected people have recovered from the disease so far. the number of active cases stands at 1,122. ","nepal reports 38 new covid-19 cases according ministry , 986,547 infected people recovered disease far . number active cases stands 1,122 ."
"The use of five substitutes, introduced as a tweak to the rules because of the Covid-19 pandemic, will be formally written into the Laws of the Game at a meeting in Doha on Monday, the International Football Association Board (IFAB) said. ",COVID-19,"the use of five substitutes, introduced as a tweak to the rules because of the covid-19 pandemic, will be formally written into the laws of the game at a meeting in doha on monday, the international football association board (ifab) said. ","use five substitutes , introduced tweak rules covid-19 pandemic , formally written laws game meeting doha monday , international football association board ( ifab ) said ."
"Nepal reports 66 new Covid-19 cases According to the ministry, 986,032 infected people have recovered from the disease so far. The number of active cases stands at 1,405. ",COVID-19,"nepal reports 66 new covid-19 cases according to the ministry, 986,032 infected people have recovered from the disease so far. the number of active cases stands at 1,405. ","nepal reports 66 new covid-19 cases according ministry , 986,032 infected people recovered disease far . number active cases stands 1,405 ."
"Nepal reports 915 new Covid-19 cases Number of active cases stands at 5,433. ",COVID-19,"nepal reports 915 new covid-19 cases number of active cases stands at 5,433. ","nepal reports 915 new covid-19 cases number active cases stands 5,433 ."
Chitwan reports first Covid-19 death in eight months A total of 451 people have succumbed to Covid-19 in the district so far. ,COVID-19,chitwan reports first covid-19 death in eight months a total of 451 people have succumbed to covid-19 in the district so far. ,chitwan reports first covid-19 death eight months total 451 people succumbed covid-19 district far .
Pfizer-BioNTech’s bivalent Covid-19 vaccine likely to arrive this week Experts urge authorities concerned to launch an awareness drive to boost vaccine uptake. ,COVID-19,pfizer-biontech’s bivalent covid-19 vaccine likely to arrive this week experts urge authorities concerned to launch an awareness drive to boost vaccine uptake. ,pfizer-biontech ’ bivalent covid-19 vaccine likely arrive week experts urge authorities concerned launch awareness drive boost vaccine uptake .
First phase of vaccination drive against Covid-19 for children aged between five and 11 starts Around 2.2 million children from 27 districts including in the Kathmandu Valley will be inoculated in the first phase of the campaign. ,COVID-19,first phase of vaccination drive against covid-19 for children aged between five and 11 starts around 2.2 million children from 27 districts including in the kathmandu valley will be inoculated in the first phase of the campaign. ,first phase vaccination drive covid-19 children aged five 11 starts around 2.2 million children 27 districts including kathmandu valley inoculated first phase campaign .
"Nepal reports 848 new Covid-19 cases One new death was reported in the last 24 hours. Number of active cases stands at 5,259. ",COVID-19,"nepal reports 848 new covid-19 cases one new death was reported in the last 24 hours. number of active cases stands at 5,259. ","nepal reports 848 new covid-19 cases one new death reported last 24 hours . number active cases stands 5,259 ."
WHO director-general Tedros arrives in Nepal Tedros is here to perceive the progress in the Covid-19 vaccination and typhoid vaccination drives which were launched with support from the UN health agency.  — by @arjunpoudeltkp,COVID-19,who director-general tedros arrives in nepal tedros is here to perceive the progress in the covid-19 vaccination and typhoid vaccination drives which were launched with support from the un health agency.  — by @arjunpoudeltkp,director-general tedros arrives nepal tedros perceive progress covid-19 vaccination typhoid vaccination drives launched support un health agency . — @ arjunpoudeltkp
Nepal reports 69 new Covid-19 cases The ministry released the data on new infections over the last four days in its daily situation report on Monday. ,COVID-19,nepal reports 69 new covid-19 cases the ministry released the data on new infections over the last four days in its daily situation report on monday. ,nepal reports 69 new covid-19 cases ministry released data new infections last four days daily situation report monday .
"For some people, Covid-19 causes long-term effects, taking both physical and mental toll As symptoms vary, doctors say long Covid is difficult to diagnose. Experts suggest seeking advice from specialists.  — by @arjunpoudeltkp",COVID-19,"for some people, covid-19 causes long-term effects, taking both physical and mental toll as symptoms vary, doctors say long covid is difficult to diagnose. experts suggest seeking advice from specialists.  — by @arjunpoudeltkp","people , covid-19 causes long-term effects , taking physical mental toll symptoms vary , doctors say long covid difficult diagnose . experts suggest seeking advice specialists . — @ arjunpoudeltkp"
"India will drop the pre-departure Covid test requirement for travellers coming from or via China, Singapore, Hong Kong, Korea, Thailand and Japan from Monday, the country's health ministry said, as Covid-19 infections have fallen sharply globally. ",COVID-19,"india will drop the pre-departure covid test requirement for travellers coming from or via china, singapore, hong kong, korea, thailand and japan from monday, the country's health ministry said, as covid-19 infections have fallen sharply globally. ","india drop pre-departure covid test requirement travellers coming via china , singapore , hong kong , korea , thailand japan monday , country 's health ministry said , covid-19 infections fallen sharply globally ."
Covid test report now mandatory for all international arrivals Passengers arriving in Nepal from the international sector should mandatorily present the Covid-19 international certificate with a bar code or Covid-19 PCR negative report. ,COVID-19,covid test report now mandatory for all international arrivals passengers arriving in nepal from the international sector should mandatorily present the covid-19 international certificate with a bar code or covid-19 pcr negative report. ,covid test report mandatory international arrivals passengers arriving nepal international sector mandatorily present covid-19 international certificate bar code covid-19 pcr negative report .
"Over 2.2 million paediatric doses of Covid-19 vaccine arrive from COVAX The vaccine doses will be used as first and second doses in the 27 districts, where the first phase of vaccination campaign was launched from June 23.  — by @arjunpoudeltkp",COVID-19,"over 2.2 million paediatric doses of covid-19 vaccine arrive from covax the vaccine doses will be used as first and second doses in the 27 districts, where the first phase of vaccination campaign was launched from june 23.  — by @arjunpoudeltkp","2.2 million paediatric doses covid-19 vaccine arrive covax vaccine doses used first second doses 27 districts , first phase vaccination campaign launched june 23 . — @ arjunpoudeltkp"
"Shanghai authorities doubled down on their offensive against Covid-19 on Friday, launching a new round of city-wide testing and warning residents their three-week lockdown would only be lifted in batches once transmission is stamped out. ",COVID-19,"shanghai authorities doubled down on their offensive against covid-19 on friday, launching a new round of city-wide testing and warning residents their three-week lockdown would only be lifted in batches once transmission is stamped out. ","shanghai authorities doubled offensive covid-19 friday , launching new round city-wide testing warning residents three-week lockdown would lifted batches transmission stamped ."
"Nepal logs 18 new Covid-19 cases According to the Health Ministry, 966,481 infected people have recovered from the disease so far and the number of active cases stands at 282. ",COVID-19,"nepal logs 18 new covid-19 cases according to the health ministry, 966,481 infected people have recovered from the disease so far and the number of active cases stands at 282. ","nepal logs 18 new covid-19 cases according health ministry , 966,481 infected people recovered disease far number active cases stands 282 ."
"Covid-19 vaccine candidates developed by a Sinopharm subsidiary and Sinovac Biotech to target the Omicron variant were approved for clinical trials in Hong Kong, the companies said on Saturday. ",COVID-19,"covid-19 vaccine candidates developed by a sinopharm subsidiary and sinovac biotech to target the omicron variant were approved for clinical trials in hong kong, the companies said on saturday. ","covid-19 vaccine candidates developed sinopharm subsidiary sinovac biotech target omicron variant approved clinical trials hong kong , companies said saturday ."
"Almost three times as many people have died as a result of Covid-19 as the official data show, according to a new World Health Organization report, the most comprehensive look at the true global toll of the pandemic so far. ",COVID-19,"almost three times as many people have died as a result of covid-19 as the official data show, according to a new world health organization report, the most comprehensive look at the true global toll of the pandemic so far. ","almost three times many people died result covid-19 official data show , according new world health organization report , comprehensive look true global toll pandemic far ."
"Nepal logs 13 new Covid-19 cases According to the Health Ministry, 965,980 infected people have recovered from the disease so far and the number of active cases stands at 637. ",COVID-19,"nepal logs 13 new covid-19 cases according to the health ministry, 965,980 infected people have recovered from the disease so far and the number of active cases stands at 637. ","nepal logs 13 new covid-19 cases according health ministry , 965,980 infected people recovered disease far number active cases stands 637 ."
Antimicrobial resistance: A pandemic long ignored Antimicrobial resistance could gain the same global reputation as Covid-19 if it is not addressed urgently.  — read opinion by Ritu Amatya &amp; Parishan Shrestha,COVID-19,antimicrobial resistance: a pandemic long ignored antimicrobial resistance could gain the same global reputation as covid-19 if it is not addressed urgently.  — read opinion by ritu amatya &amp; parishan shrestha,antimicrobial resistance : pandemic long ignored antimicrobial resistance could gain global reputation covid-19 addressed urgently . — read opinion ritu amatya & amp ; parishan shrestha
"Nepal reports 781 new Covid-19 cases Two new deaths were reported in the last 24 hours. Number of active cases stands at 5,775. ",COVID-19,"nepal reports 781 new covid-19 cases two new deaths were reported in the last 24 hours. number of active cases stands at 5,775. ","nepal reports 781 new covid-19 cases two new deaths reported last 24 hours . number active cases stands 5,775 ."
"The peak of China’s Covid-19 wave is expected to last two to three months, and will soon swell over the vast countryside where medical resources are relatively scarce. ",COVID-19,"the peak of china’s covid-19 wave is expected to last two to three months, and will soon swell over the vast countryside where medical resources are relatively scarce. ","peak china ’ covid-19 wave expected last two three months , soon swell vast countryside medical resources relatively scarce ."
EDITORIAL: Unprepared The country’s approach to Covid-19 control could be a recipe for disaster. ,COVID-19,editorial: unprepared the country’s approach to covid-19 control could be a recipe for disaster. ,editorial : unprepared country ’ approach covid-19 control could recipe disaster .
"Experts warn that the timing of the dengue outbreak is serious, as the country has already been dealing with a double whammy—outbreak of cholera and resurgence of Covid-19. ",COVID-19,"experts warn that the timing of the dengue outbreak is serious, as the country has already been dealing with a double whammy—outbreak of cholera and resurgence of covid-19. ","experts warn timing dengue outbreak serious , country already dealing double whammy—outbreak cholera resurgence covid-19 ."
"Nepal reports 564 new Covid-19 cases One new death was reported in the last 24 hours. Number of active cases stands at 3,929. ",COVID-19,"nepal reports 564 new covid-19 cases one new death was reported in the last 24 hours. number of active cases stands at 3,929. ","nepal reports 564 new covid-19 cases one new death reported last 24 hours . number active cases stands 3,929 ."
"Nepal reports 20 new Covid-19 cases According to the Health Ministry, 966,656 infected people have recovered from the disease so far and the number of active cases stands at 221. ",COVID-19,"nepal reports 20 new covid-19 cases according to the health ministry, 966,656 infected people have recovered from the disease so far and the number of active cases stands at 221. ","nepal reports 20 new covid-19 cases according health ministry , 966,656 infected people recovered disease far number active cases stands 221 ."
"Nepal logs 15 new Covid-19 cases According to the Health Ministry, 966,456 infected people have recovered from the disease so far and the number of active cases stands at 298. ",COVID-19,"nepal logs 15 new covid-19 cases according to the health ministry, 966,456 infected people have recovered from the disease so far and the number of active cases stands at 298. ","nepal logs 15 new covid-19 cases according health ministry , 966,456 infected people recovered disease far number active cases stands 298 ."
Nepal mandates Covid negative report or vaccine certificate for all international arrivals Passengers arriving in Nepal from the international sector should mandatorily present the Covid-19 vaccine certificate or Covid-19 PCR negative report. ,COVID-19,nepal mandates covid negative report or vaccine certificate for all international arrivals passengers arriving in nepal from the international sector should mandatorily present the covid-19 vaccine certificate or covid-19 pcr negative report. ,nepal mandates covid negative report vaccine certificate international arrivals passengers arriving nepal international sector mandatorily present covid-19 vaccine certificate covid-19 pcr negative report .
"The move came soon after Japan toughened Covid-19 rules for travellers coming directly from China, prescribing a negative result of a PCR test taken less than 72 hours before departure, as well as a negative test on arrival in Japan. ",COVID-19,"the move came soon after japan toughened covid-19 rules for travellers coming directly from china, prescribing a negative result of a pcr test taken less than 72 hours before departure, as well as a negative test on arrival in japan. ","move came soon japan toughened covid-19 rules travellers coming directly china , prescribing negative result pcr test taken less 72 hours departure , well negative test arrival japan ."
Nepal reports 15 new Covid-19 cases The number of active cases stands at 98. ,COVID-19,nepal reports 15 new covid-19 cases the number of active cases stands at 98. ,nepal reports 15 new covid-19 cases number active cases stands 98 .
"Nepal logs 12 new Covid-19 cases According to the Health Ministry, 966,339 infected people have recovered from the disease so far and the number of active cases stands at 375. ",COVID-19,"nepal logs 12 new covid-19 cases according to the health ministry, 966,339 infected people have recovered from the disease so far and the number of active cases stands at 375. ","nepal logs 12 new covid-19 cases according health ministry , 966,339 infected people recovered disease far number active cases stands 375 ."
"China reported almost 13,000 deaths related to Covid-19 in hospitals between January 13 and 19, adding to the nearly 60,000 in the month-or-so before that, as its experts say the wave of infections across the country has already peaked. ",COVID-19,"china reported almost 13,000 deaths related to covid-19 in hospitals between january 13 and 19, adding to the nearly 60,000 in the month-or-so before that, as its experts say the wave of infections across the country has already peaked. ","china reported almost 13,000 deaths related covid-19 hospitals january 13 19 , adding nearly 60,000 month-or-so , experts say wave infections across country already peaked ."
"Nepal reports 53 new Covid-19 cases According to the ministry, 986,419 infected people have recovered from the disease so far. The number of active cases stands at 1,178. ",COVID-19,"nepal reports 53 new covid-19 cases according to the ministry, 986,419 infected people have recovered from the disease so far. the number of active cases stands at 1,178. ","nepal reports 53 new covid-19 cases according ministry , 986,419 infected people recovered disease far . number active cases stands 1,178 ."
"Nepal logs 44 new Covid-19 cases According to the Health Ministry, 963,592 infected people have recovered from the disease so far and the number of active cases stands at 2,688. ",COVID-19,"nepal logs 44 new covid-19 cases according to the health ministry, 963,592 infected people have recovered from the disease so far and the number of active cases stands at 2,688. ","nepal logs 44 new covid-19 cases according health ministry , 963,592 infected people recovered disease far number active cases stands 2,688 ."
"Police on Monday stopped and searched people at the sites of weekend protests in Shanghai and Beijing, after crowds there and in other Chinese cities demonstrated against stringent Covid-19 measures disrupting lives three years into the pandemic. ",COVID-19,"police on monday stopped and searched people at the sites of weekend protests in shanghai and beijing, after crowds there and in other chinese cities demonstrated against stringent covid-19 measures disrupting lives three years into the pandemic. ","police monday stopped searched people sites weekend protests shanghai beijing , crowds chinese cities demonstrated stringent covid-19 measures disrupting lives three years pandemic ."
"Nepal logs 22 new Covid-19 cases According to the Health Ministry, 965,469 infected people have recovered from the disease so far and the number of active cases stands at 1,022. ",COVID-19,"nepal logs 22 new covid-19 cases according to the health ministry, 965,469 infected people have recovered from the disease so far and the number of active cases stands at 1,022. ","nepal logs 22 new covid-19 cases according health ministry , 965,469 infected people recovered disease far number active cases stands 1,022 ."
"Nepal logs 23 new Covid-19 cases According to the Health Ministry, 965,625 infected people have recovered from the disease so far and the number of active cases stands at 899. ",COVID-19,"nepal logs 23 new covid-19 cases according to the health ministry, 965,625 infected people have recovered from the disease so far and the number of active cases stands at 899. ","nepal logs 23 new covid-19 cases according health ministry , 965,625 infected people recovered disease far number active cases stands 899 ."
"The rise, fall, and rise of fashion rental business Kathmandu’s fashion rental stores, which were dealt a huge blow by the Covid-19 pandemic, are now making a comeback.  — by @Pinki_SR",COVID-19,"the rise, fall, and rise of fashion rental business kathmandu’s fashion rental stores, which were dealt a huge blow by the covid-19 pandemic, are now making a comeback.  — by @pinki_sr","rise , fall , rise fashion rental business kathmandu ’ fashion rental stores , dealt huge blow covid-19 pandemic , making comeback . — @ pinki_sr"
"Nepal reports 173 new Covid-19 cases According to the ministry, 981,059 infected people have recovered from the disease so far. The number of active cases stands at 3,612. ",COVID-19,"nepal reports 173 new covid-19 cases according to the ministry, 981,059 infected people have recovered from the disease so far. the number of active cases stands at 3,612. ","nepal reports 173 new covid-19 cases according ministry , 981,059 infected people recovered disease far . number active cases stands 3,612 ."
Nepal reports 55 new Covid-19 cases The number of active cases stands at 280. ,COVID-19,nepal reports 55 new covid-19 cases the number of active cases stands at 280. ,nepal reports 55 new covid-19 cases number active cases stands 280 .
"President Bidya Devi Bhandari, who has been infected with Covid-19, has been discharged from the hospital on Tuesday. ",COVID-19,"president bidya devi bhandari, who has been infected with covid-19, has been discharged from the hospital on tuesday. ","president bidya devi bhandari , infected covid-19 , discharged hospital tuesday ."
"Nepal logs 18 new Covid-19 cases According to the Health Ministry, 966,498 infected people have recovered from the disease so far and the number of active cases stands at 283. ",COVID-19,"nepal logs 18 new covid-19 cases according to the health ministry, 966,498 infected people have recovered from the disease so far and the number of active cases stands at 283. ","nepal logs 18 new covid-19 cases according health ministry , 966,498 infected people recovered disease far number active cases stands 283 ."
"Asian Development Bank cuts Nepal’s annual growth forecast to 4.1 percent Nepal’s downturn reflects tighter monetary policy, slackened domestic demand, the unwinding of the Covid-19 stimulus, and persistent global headwinds. ",COVID-19,"asian development bank cuts nepal’s annual growth forecast to 4.1 percent nepal’s downturn reflects tighter monetary policy, slackened domestic demand, the unwinding of the covid-19 stimulus, and persistent global headwinds. ","asian development bank cuts nepal ’ annual growth forecast 4.1 percent nepal ’ downturn reflects tighter monetary policy , slackened domestic demand , unwinding covid-19 stimulus , persistent global headwinds ."
"One more Covid-19 death reported, 121 new cases Of the 620 PCR tests taken in the last 24 hours, 58 people tested positive. Similarly, 63 people tested positive in a total of 1,757 antigen tests. ",COVID-19,"one more covid-19 death reported, 121 new cases of the 620 pcr tests taken in the last 24 hours, 58 people tested positive. similarly, 63 people tested positive in a total of 1,757 antigen tests. ","one covid-19 death reported , 121 new cases 620 pcr tests taken last 24 hours , 58 people tested positive . similarly , 63 people tested positive total 1,757 antigen tests ."
